JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/runs__/configs/synthetic_graph_10task_condition4_awb_full.json
Problem type: classification
Dataset: synthetic_taskshift
Tasks: 10
AWB enabled: True

Output directory: /home/kraghavan/projects/ContLearn/runs__/experiments/synthetic_graph/results/synthetic_graph_10task_condition4_awb_full_run2
Model path: /home/kraghavan/projects/ContLearn/runs__/experiments/synthetic_graph/results/synthetic_graph_10task_condition4_awb_full_run2/synthetic_graph_10task_condition4_awb_full_run2


############################################################
# Run ID: 2
############################################################
Task-Shift Synthetic Graph Dataset:
====================================
Total graphs: 1000
Train/Test split: 80%/20%
Number of features: 10
Number of classes: 5
Task-shift enabled: True
  Feature noise base: 0.1
  Edge dropout base: 0.05
  Feature shift base: 0.05

============================================================
Task 0
============================================================
Task 0 (training): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=800, memory=800
Task 0 (testing): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=200, memory=800
Task 0 (testing): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=200, memory=800
Standard CL training (lr=0.001000, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/400 [00:00<?, ?it/s]
  0%|          | 1/400 [01:53<12:32:18, 113.13s/it]
  0%|          | 1/400 [01:56<12:32:18, 113.13s/it, CE=1.999799e+00 H=1.999568e+00 dV_dx=0.000000e+00 dV_dθ=-2.308827e-04 ||∇||=3.207113e+01 | Tr=0.2163]
  0%|          | 2/400 [01:56<5:23:56, 48.84s/it, CE=1.999799e+00 H=1.999568e+00 dV_dx=0.000000e+00 dV_dθ=-2.308827e-04 ||∇||=3.207113e+01 | Tr=0.2163]  
  0%|          | 2/400 [02:00<5:23:56, 48.84s/it, CE=1.809219e+00 H=1.809060e+00 dV_dx=0.000000e+00 dV_dθ=-1.586278e-04 ||∇||=2.197038e+01 | Tr=0.2115]
  1%|          | 3/400 [02:00<3:05:48, 28.08s/it, CE=1.809219e+00 H=1.809060e+00 dV_dx=0.000000e+00 dV_dθ=-1.586278e-04 ||∇||=2.197038e+01 | Tr=0.2115]
  1%|          | 3/400 [02:04<3:05:48, 28.08s/it, CE=1.721006e+00 H=1.720874e+00 dV_dx=0.000000e+00 dV_dθ=-1.314924e-04 ||∇||=1.818866e+01 | Tr=0.1875]
  1%|          | 4/400 [02:04<2:02:43, 18.59s/it, CE=1.721006e+00 H=1.720874e+00 dV_dx=0.000000e+00 dV_dθ=-1.314924e-04 ||∇||=1.818866e+01 | Tr=0.1875]
  1%|          | 4/400 [02:08<2:02:43, 18.59s/it, CE=1.696048e+00 H=1.695927e+00 dV_dx=0.000000e+00 dV_dθ=-1.209788e-04 ||∇||=1.667905e+01 | Tr=0.1923]
  1%|▏         | 5/400 [02:08<1:27:52, 13.35s/it, CE=1.696048e+00 H=1.695927e+00 dV_dx=0.000000e+00 dV_dθ=-1.209788e-04 ||∇||=1.667905e+01 | Tr=0.1923]
  1%|▏         | 5/400 [02:11<1:27:52, 13.35s/it, CE=1.693462e+00 H=1.693344e+00 dV_dx=0.000000e+00 dV_dθ=-1.183164e-04 ||∇||=1.624111e+01 | Tr=0.2151]
  2%|▏         | 6/400 [02:11<1:04:38,  9.85s/it, CE=1.693462e+00 H=1.693344e+00 dV_dx=0.000000e+00 dV_dθ=-1.183164e-04 ||∇||=1.624111e+01 | Tr=0.2151]
  2%|▏         | 6/400 [02:15<1:04:38,  9.85s/it, CE=1.696803e+00 H=1.696678e+00 dV_dx=0.000000e+00 dV_dθ=-1.247054e-04 ||∇||=1.709353e+01 | Tr=0.2091]
  2%|▏         | 7/400 [02:15<51:10,  7.81s/it, CE=1.696803e+00 H=1.696678e+00 dV_dx=0.000000e+00 dV_dθ=-1.247054e-04 ||∇||=1.709353e+01 | Tr=0.2091]  
  2%|▏         | 7/400 [02:18<51:10,  7.81s/it, CE=1.712454e+00 H=1.712325e+00 dV_dx=0.000000e+00 dV_dθ=-1.284672e-04 ||∇||=1.758850e+01 | Tr=0.2188]
  2%|▏         | 8/400 [02:18<41:37,  6.37s/it, CE=1.712454e+00 H=1.712325e+00 dV_dx=0.000000e+00 dV_dθ=-1.284672e-04 ||∇||=1.758850e+01 | Tr=0.2188]
  2%|▏         | 8/400 [02:21<41:37,  6.37s/it, CE=1.711609e+00 H=1.711483e+00 dV_dx=0.000000e+00 dV_dθ=-1.251435e-04 ||∇||=1.718423e+01 | Tr=0.2019]
  2%|▏         | 9/400 [02:21<34:22,  5.28s/it, CE=1.711609e+00 H=1.711483e+00 dV_dx=0.000000e+00 dV_dθ=-1.251435e-04 ||∇||=1.718423e+01 | Tr=0.2019]
  2%|▏         | 9/400 [02:24<34:22,  5.28s/it, CE=1.695536e+00 H=1.695417e+00 dV_dx=0.000000e+00 dV_dθ=-1.195209e-04 ||∇||=1.642236e+01 | Tr=0.2115]
  2%|▎         | 10/400 [02:24<30:38,  4.72s/it, CE=1.695536e+00 H=1.695417e+00 dV_dx=0.000000e+00 dV_dθ=-1.195209e-04 ||∇||=1.642236e+01 | Tr=0.2115]
  2%|▎         | 10/400 [02:28<30:38,  4.72s/it, CE=1.688432e+00 H=1.688316e+00 dV_dx=0.000000e+00 dV_dθ=-1.168457e-04 ||∇||=1.620650e+01 | Tr=0.2055]
  3%|▎         | 11/400 [02:28<28:00,  4.32s/it, CE=1.688432e+00 H=1.688316e+00 dV_dx=0.000000e+00 dV_dθ=-1.168457e-04 ||∇||=1.620650e+01 | Tr=0.2055]
  3%|▎         | 11/400 [02:32<28:00,  4.32s/it, CE=1.683710e+00 H=1.683596e+00 dV_dx=0.000000e+00 dV_dθ=-1.137491e-04 ||∇||=1.579333e+01 | Tr=0.2356]
  3%|▎         | 12/400 [02:32<27:05,  4.19s/it, CE=1.683710e+00 H=1.683596e+00 dV_dx=0.000000e+00 dV_dθ=-1.137491e-04 ||∇||=1.579333e+01 | Tr=0.2356]
  3%|▎         | 12/400 [02:36<27:05,  4.19s/it, CE=1.675285e+00 H=1.675173e+00 dV_dx=0.000000e+00 dV_dθ=-1.115879e-04 ||∇||=1.548728e+01 | Tr=0.2416]
  3%|▎         | 13/400 [02:36<27:32,  4.27s/it, CE=1.675285e+00 H=1.675173e+00 dV_dx=0.000000e+00 dV_dθ=-1.115879e-04 ||∇||=1.548728e+01 | Tr=0.2416]
  3%|▎         | 13/400 [02:41<27:32,  4.27s/it, CE=1.653849e+00 H=1.653746e+00 dV_dx=0.000000e+00 dV_dθ=-1.036581e-04 ||∇||=1.442206e+01 | Tr=0.2536]
  4%|▎         | 14/400 [02:41<28:59,  4.51s/it, CE=1.653849e+00 H=1.653746e+00 dV_dx=0.000000e+00 dV_dθ=-1.036581e-04 ||∇||=1.442206e+01 | Tr=0.2536]
  4%|▎         | 14/400 [02:45<28:59,  4.51s/it, CE=1.661004e+00 H=1.660899e+00 dV_dx=0.000000e+00 dV_dθ=-1.044266e-04 ||∇||=1.447547e+01 | Tr=0.2596]
  4%|▍         | 15/400 [02:45<27:47,  4.33s/it, CE=1.661004e+00 H=1.660899e+00 dV_dx=0.000000e+00 dV_dθ=-1.044266e-04 ||∇||=1.447547e+01 | Tr=0.2596]
  4%|▍         | 15/400 [02:48<27:47,  4.33s/it, CE=1.667744e+00 H=1.667636e+00 dV_dx=0.000000e+00 dV_dθ=-1.072701e-04 ||∇||=1.497063e+01 | Tr=0.2476]
  4%|▍         | 16/400 [02:48<26:09,  4.09s/it, CE=1.667744e+00 H=1.667636e+00 dV_dx=0.000000e+00 dV_dθ=-1.072701e-04 ||∇||=1.497063e+01 | Tr=0.2476]
  4%|▍         | 16/400 [02:51<26:09,  4.09s/it, CE=1.672487e+00 H=1.672378e+00 dV_dx=0.000000e+00 dV_dθ=-1.098428e-04 ||∇||=1.527695e+01 | Tr=0.2416]
  4%|▍         | 17/400 [02:51<23:39,  3.71s/it, CE=1.672487e+00 H=1.672378e+00 dV_dx=0.000000e+00 dV_dθ=-1.098428e-04 ||∇||=1.527695e+01 | Tr=0.2416]
  4%|▍         | 17/400 [02:55<23:39,  3.71s/it, CE=1.663984e+00 H=1.663878e+00 dV_dx=0.000000e+00 dV_dθ=-1.053954e-04 ||∇||=1.457163e+01 | Tr=0.2296]
  4%|▍         | 18/400 [02:55<23:15,  3.65s/it, CE=1.663984e+00 H=1.663878e+00 dV_dx=0.000000e+00 dV_dθ=-1.053954e-04 ||∇||=1.457163e+01 | Tr=0.2296]
  4%|▍         | 18/400 [02:58<23:15,  3.65s/it, CE=1.645507e+00 H=1.645408e+00 dV_dx=0.000000e+00 dV_dθ=-9.896295e-05 ||∇||=1.369390e+01 | Tr=0.2320]
  5%|▍         | 19/400 [02:58<22:40,  3.57s/it, CE=1.645507e+00 H=1.645408e+00 dV_dx=0.000000e+00 dV_dθ=-9.896295e-05 ||∇||=1.369390e+01 | Tr=0.2320]
  5%|▍         | 19/400 [03:02<22:40,  3.57s/it, CE=1.636894e+00 H=1.636798e+00 dV_dx=0.000000e+00 dV_dθ=-9.631350e-05 ||∇||=1.320011e+01 | Tr=0.2416]
  5%|▌         | 20/400 [03:02<22:30,  3.55s/it, CE=1.636894e+00 H=1.636798e+00 dV_dx=0.000000e+00 dV_dθ=-9.631350e-05 ||∇||=1.320011e+01 | Tr=0.2416]
  5%|▌         | 20/400 [03:06<22:30,  3.55s/it, CE=1.620118e+00 H=1.620029e+00 dV_dx=0.000000e+00 dV_dθ=-8.895289e-05 ||∇||=1.218038e+01 | Tr=0.2536]
  5%|▌         | 21/400 [03:06<23:15,  3.68s/it, CE=1.620118e+00 H=1.620029e+00 dV_dx=0.000000e+00 dV_dθ=-8.895289e-05 ||∇||=1.218038e+01 | Tr=0.2536]
  5%|▌         | 21/400 [03:09<23:15,  3.68s/it, CE=1.611269e+00 H=1.611183e+00 dV_dx=0.000000e+00 dV_dθ=-8.639833e-05 ||∇||=1.181041e+01 | Tr=0.2548]
  6%|▌         | 22/400 [03:09<22:45,  3.61s/it, CE=1.611269e+00 H=1.611183e+00 dV_dx=0.000000e+00 dV_dθ=-8.639833e-05 ||∇||=1.181041e+01 | Tr=0.2548]
  6%|▌         | 22/400 [03:13<22:45,  3.61s/it, CE=1.579863e+00 H=1.579784e+00 dV_dx=0.000000e+00 dV_dθ=-7.897750e-05 ||∇||=1.072156e+01 | Tr=0.2909]
  6%|▌         | 23/400 [03:13<23:46,  3.78s/it, CE=1.579863e+00 H=1.579784e+00 dV_dx=0.000000e+00 dV_dθ=-7.897750e-05 ||∇||=1.072156e+01 | Tr=0.2909]
  6%|▌         | 23/400 [03:17<23:46,  3.78s/it, CE=1.583217e+00 H=1.583131e+00 dV_dx=0.000000e+00 dV_dθ=-8.535299e-05 ||∇||=1.157952e+01 | Tr=0.2800]
  6%|▌         | 24/400 [03:17<24:17,  3.88s/it, CE=1.583217e+00 H=1.583131e+00 dV_dx=0.000000e+00 dV_dθ=-8.535299e-05 ||∇||=1.157952e+01 | Tr=0.2800]
  6%|▌         | 24/400 [03:21<24:17,  3.88s/it, CE=1.574907e+00 H=1.574815e+00 dV_dx=0.000000e+00 dV_dθ=-9.151956e-05 ||∇||=1.228316e+01 | Tr=0.2909]
  6%|▋         | 25/400 [03:21<24:04,  3.85s/it, CE=1.574907e+00 H=1.574815e+00 dV_dx=0.000000e+00 dV_dθ=-9.151956e-05 ||∇||=1.228316e+01 | Tr=0.2909]
  6%|▋         | 25/400 [03:28<24:04,  3.85s/it, CE=1.553296e+00 H=1.553213e+00 dV_dx=0.000000e+00 dV_dθ=-8.289092e-05 ||∇||=1.123368e+01 | Tr=0.2957 Te/Cur=0.3516 Te/Exp=0.3203]
  6%|▋         | 26/400 [03:28<29:27,  4.72s/it, CE=1.553296e+00 H=1.553213e+00 dV_dx=0.000000e+00 dV_dθ=-8.289092e-05 ||∇||=1.123368e+01 | Tr=0.2957 Te/Cur=0.3516 Te/Exp=0.3203]
  6%|▋         | 26/400 [03:32<29:27,  4.72s/it, CE=1.537388e+00 H=1.537305e+00 dV_dx=0.000000e+00 dV_dθ=-8.330750e-05 ||∇||=1.127085e+01 | Tr=0.2945]                            
  7%|▋         | 27/400 [03:32<27:39,  4.45s/it, CE=1.537388e+00 H=1.537305e+00 dV_dx=0.000000e+00 dV_dθ=-8.330750e-05 ||∇||=1.127085e+01 | Tr=0.2945]
  7%|▋         | 27/400 [03:35<27:39,  4.45s/it, CE=1.519215e+00 H=1.519136e+00 dV_dx=0.000000e+00 dV_dθ=-7.907166e-05 ||∇||=1.073396e+01 | Tr=0.3053]
  7%|▋         | 28/400 [03:35<25:05,  4.05s/it, CE=1.519215e+00 H=1.519136e+00 dV_dx=0.000000e+00 dV_dθ=-7.907166e-05 ||∇||=1.073396e+01 | Tr=0.3053]
  7%|▋         | 28/400 [03:38<25:05,  4.05s/it, CE=1.508394e+00 H=1.508309e+00 dV_dx=0.000000e+00 dV_dθ=-8.460756e-05 ||∇||=1.165615e+01 | Tr=0.3125]
  7%|▋         | 29/400 [03:38<24:04,  3.89s/it, CE=1.508394e+00 H=1.508309e+00 dV_dx=0.000000e+00 dV_dθ=-8.460756e-05 ||∇||=1.165615e+01 | Tr=0.3125]
  7%|▋         | 29/400 [03:42<24:04,  3.89s/it, CE=1.503580e+00 H=1.503493e+00 dV_dx=0.000000e+00 dV_dθ=-8.714598e-05 ||∇||=1.210417e+01 | Tr=0.3137]
  8%|▊         | 30/400 [03:42<23:08,  3.75s/it, CE=1.503580e+00 H=1.503493e+00 dV_dx=0.000000e+00 dV_dθ=-8.714598e-05 ||∇||=1.210417e+01 | Tr=0.3137]
  8%|▊         | 30/400 [03:46<23:08,  3.75s/it, CE=1.485700e+00 H=1.485617e+00 dV_dx=0.000000e+00 dV_dθ=-8.319392e-05 ||∇||=1.160283e+01 | Tr=0.3197]
  8%|▊         | 31/400 [03:46<22:59,  3.74s/it, CE=1.485700e+00 H=1.485617e+00 dV_dx=0.000000e+00 dV_dθ=-8.319392e-05 ||∇||=1.160283e+01 | Tr=0.3197]
  8%|▊         | 31/400 [03:50<22:59,  3.74s/it, CE=1.479113e+00 H=1.479027e+00 dV_dx=0.000000e+00 dV_dθ=-8.600381e-05 ||∇||=1.221297e+01 | Tr=0.3257]
  8%|▊         | 32/400 [03:50<24:16,  3.96s/it, CE=1.479113e+00 H=1.479027e+00 dV_dx=0.000000e+00 dV_dθ=-8.600381e-05 ||∇||=1.221297e+01 | Tr=0.3257]
  8%|▊         | 32/400 [03:54<24:16,  3.96s/it, CE=1.471989e+00 H=1.471902e+00 dV_dx=0.000000e+00 dV_dθ=-8.674859e-05 ||∇||=1.240709e+01 | Tr=0.3281]
  8%|▊         | 33/400 [03:54<24:16,  3.97s/it, CE=1.471989e+00 H=1.471902e+00 dV_dx=0.000000e+00 dV_dθ=-8.674859e-05 ||∇||=1.240709e+01 | Tr=0.3281]
  8%|▊         | 33/400 [03:58<24:16,  3.97s/it, CE=1.459283e+00 H=1.459199e+00 dV_dx=0.000000e+00 dV_dθ=-8.404886e-05 ||∇||=1.213550e+01 | Tr=0.3341]
  8%|▊         | 34/400 [03:58<23:26,  3.84s/it, CE=1.459283e+00 H=1.459199e+00 dV_dx=0.000000e+00 dV_dθ=-8.404886e-05 ||∇||=1.213550e+01 | Tr=0.3341]
  8%|▊         | 34/400 [04:02<23:26,  3.84s/it, CE=1.457073e+00 H=1.456983e+00 dV_dx=0.000000e+00 dV_dθ=-8.952701e-05 ||∇||=1.317317e+01 | Tr=0.3413]
  9%|▉         | 35/400 [04:02<23:47,  3.91s/it, CE=1.457073e+00 H=1.456983e+00 dV_dx=0.000000e+00 dV_dθ=-8.952701e-05 ||∇||=1.317317e+01 | Tr=0.3413]
  9%|▉         | 35/400 [04:06<23:47,  3.91s/it, CE=1.455790e+00 H=1.455698e+00 dV_dx=0.000000e+00 dV_dθ=-9.160967e-05 ||∇||=1.361285e+01 | Tr=0.3329]
  9%|▉         | 36/400 [04:06<24:12,  3.99s/it, CE=1.455790e+00 H=1.455698e+00 dV_dx=0.000000e+00 dV_dθ=-9.160967e-05 ||∇||=1.361285e+01 | Tr=0.3329]
  9%|▉         | 36/400 [04:09<24:12,  3.99s/it, CE=1.434831e+00 H=1.434747e+00 dV_dx=0.000000e+00 dV_dθ=-8.335801e-05 ||∇||=1.234556e+01 | Tr=0.3413]
  9%|▉         | 37/400 [04:09<23:31,  3.89s/it, CE=1.434831e+00 H=1.434747e+00 dV_dx=0.000000e+00 dV_dθ=-8.335801e-05 ||∇||=1.234556e+01 | Tr=0.3413]
  9%|▉         | 37/400 [04:14<23:31,  3.89s/it, CE=1.437699e+00 H=1.437606e+00 dV_dx=0.000000e+00 dV_dθ=-9.351091e-05 ||∇||=1.422649e+01 | Tr=0.3594]
 10%|▉         | 38/400 [04:14<24:28,  4.06s/it, CE=1.437699e+00 H=1.437606e+00 dV_dx=0.000000e+00 dV_dθ=-9.351091e-05 ||∇||=1.422649e+01 | Tr=0.3594]
 10%|▉         | 38/400 [04:17<24:28,  4.06s/it, CE=1.438053e+00 H=1.437958e+00 dV_dx=0.000000e+00 dV_dθ=-9.481426e-05 ||∇||=1.450425e+01 | Tr=0.3498]
 10%|▉         | 39/400 [04:17<22:46,  3.79s/it, CE=1.438053e+00 H=1.437958e+00 dV_dx=0.000000e+00 dV_dθ=-9.481426e-05 ||∇||=1.450425e+01 | Tr=0.3498]
