JAX Backend: gpu
JAX Devices: [CudaDevice(id=0)]

Loaded config from: /home/kraghavan/projects/ContLearn/runs__/configs/synthetic_graph_10task_condition4_awb_full.json
Problem type: classification
Dataset: synthetic_taskshift
Tasks: 10
AWB enabled: True

Output directory: /home/kraghavan/projects/ContLearn/runs__/experiments/synthetic_graph/results/synthetic_graph_10task_condition4_awb_full_run0
Model path: /home/kraghavan/projects/ContLearn/runs__/experiments/synthetic_graph/results/synthetic_graph_10task_condition4_awb_full_run0/synthetic_graph_10task_condition4_awb_full_run0


############################################################
# Run ID: 0
############################################################
Task-Shift Synthetic Graph Dataset:
====================================
Number of training graphs: 800
Number of test graphs: 200
Number of features: 10
Number of classes: 5
Task-shift enabled: True
  Feature noise base: 0.1
  Edge dropout base: 0.05
  Feature shift base: 0.05

============================================================
Task 0
============================================================
Task 0 (training): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=800, memory=800
Task 0 (testing): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=200, memory=800
Task 0 (testing): All 5 classes with perturbation (noise_σ=0.00, edge_drop=0.00, shift=0.00), current=200, memory=800
Standard CL training (lr=0.001000, adaptive_lr_min=1.00e-06, loss_ratio=1.00)

  0%|          | 0/400 [00:00<?, ?it/s]
  0%|          | 1/400 [01:53<12:35:02, 113.54s/it]
  0%|          | 1/400 [01:56<12:35:02, 113.54s/it, CE=1.986383e+00 H=1.986229e+00 dV_dx=0.000000e+00 dV_dθ=-1.544919e-04 ||∇||=2.157192e+01 | Tr=0.2248]
  0%|          | 2/400 [01:56<5:22:01, 48.55s/it, CE=1.986383e+00 H=1.986229e+00 dV_dx=0.000000e+00 dV_dθ=-1.544919e-04 ||∇||=2.157192e+01 | Tr=0.2248]  
  0%|          | 2/400 [02:00<5:22:01, 48.55s/it, CE=1.728892e+00 H=1.728795e+00 dV_dx=0.000000e+00 dV_dθ=-9.685470e-05 ||∇||=1.381512e+01 | Tr=0.2284]
  1%|          | 3/400 [02:00<3:05:01, 27.96s/it, CE=1.728892e+00 H=1.728795e+00 dV_dx=0.000000e+00 dV_dθ=-9.685470e-05 ||∇||=1.381512e+01 | Tr=0.2284]
  1%|          | 3/400 [02:03<3:05:01, 27.96s/it, CE=1.676641e+00 H=1.676547e+00 dV_dx=0.000000e+00 dV_dθ=-9.375877e-05 ||∇||=1.308099e+01 | Tr=0.2272]
  1%|          | 4/400 [02:03<2:00:43, 18.29s/it, CE=1.676641e+00 H=1.676547e+00 dV_dx=0.000000e+00 dV_dθ=-9.375877e-05 ||∇||=1.308099e+01 | Tr=0.2272]
  1%|          | 4/400 [02:06<2:00:43, 18.29s/it, CE=1.687820e+00 H=1.687712e+00 dV_dx=0.000000e+00 dV_dθ=-1.078678e-04 ||∇||=1.497930e+01 | Tr=0.2007]
  1%|▏         | 5/400 [02:06<1:24:06, 12.78s/it, CE=1.687820e+00 H=1.687712e+00 dV_dx=0.000000e+00 dV_dθ=-1.078678e-04 ||∇||=1.497930e+01 | Tr=0.2007]
  1%|▏         | 5/400 [02:10<1:24:06, 12.78s/it, CE=1.694688e+00 H=1.694576e+00 dV_dx=0.000000e+00 dV_dθ=-1.123800e-04 ||∇||=1.552575e+01 | Tr=0.1935]
  2%|▏         | 6/400 [02:10<1:03:23,  9.65s/it, CE=1.694688e+00 H=1.694576e+00 dV_dx=0.000000e+00 dV_dθ=-1.123800e-04 ||∇||=1.552575e+01 | Tr=0.1935]
  2%|▏         | 6/400 [02:14<1:03:23,  9.65s/it, CE=1.698573e+00 H=1.698458e+00 dV_dx=0.000000e+00 dV_dθ=-1.150655e-04 ||∇||=1.580519e+01 | Tr=0.2031]
  2%|▏         | 7/400 [02:14<51:13,  7.82s/it, CE=1.698573e+00 H=1.698458e+00 dV_dx=0.000000e+00 dV_dθ=-1.150655e-04 ||∇||=1.580519e+01 | Tr=0.2031]  
  2%|▏         | 7/400 [02:18<51:13,  7.82s/it, CE=1.688051e+00 H=1.687941e+00 dV_dx=0.000000e+00 dV_dθ=-1.096250e-04 ||∇||=1.520042e+01 | Tr=0.2188]
  2%|▏         | 8/400 [02:18<43:58,  6.73s/it, CE=1.688051e+00 H=1.687941e+00 dV_dx=0.000000e+00 dV_dθ=-1.096250e-04 ||∇||=1.520042e+01 | Tr=0.2188]
  2%|▏         | 8/400 [02:22<43:58,  6.73s/it, CE=1.691736e+00 H=1.691626e+00 dV_dx=0.000000e+00 dV_dθ=-1.102715e-04 ||∇||=1.540483e+01 | Tr=0.2115]
  2%|▏         | 9/400 [02:22<38:19,  5.88s/it, CE=1.691736e+00 H=1.691626e+00 dV_dx=0.000000e+00 dV_dθ=-1.102715e-04 ||∇||=1.540483e+01 | Tr=0.2115]
  2%|▏         | 9/400 [02:26<38:19,  5.88s/it, CE=1.688573e+00 H=1.688462e+00 dV_dx=0.000000e+00 dV_dθ=-1.109739e-04 ||∇||=1.527987e+01 | Tr=0.2067]
  2%|▎         | 10/400 [02:26<33:52,  5.21s/it, CE=1.688573e+00 H=1.688462e+00 dV_dx=0.000000e+00 dV_dθ=-1.109739e-04 ||∇||=1.527987e+01 | Tr=0.2067]
  2%|▎         | 10/400 [02:29<33:52,  5.21s/it, CE=1.688293e+00 H=1.688180e+00 dV_dx=0.000000e+00 dV_dθ=-1.137299e-04 ||∇||=1.551789e+01 | Tr=0.2139]
  3%|▎         | 11/400 [02:29<30:29,  4.70s/it, CE=1.688293e+00 H=1.688180e+00 dV_dx=0.000000e+00 dV_dθ=-1.137299e-04 ||∇||=1.551789e+01 | Tr=0.2139]
  3%|▎         | 11/400 [02:33<30:29,  4.70s/it, CE=1.685323e+00 H=1.685212e+00 dV_dx=0.000000e+00 dV_dθ=-1.111260e-04 ||∇||=1.531439e+01 | Tr=0.2236]
  3%|▎         | 12/400 [02:33<27:48,  4.30s/it, CE=1.685323e+00 H=1.685212e+00 dV_dx=0.000000e+00 dV_dθ=-1.111260e-04 ||∇||=1.531439e+01 | Tr=0.2236]
  3%|▎         | 12/400 [02:37<27:48,  4.30s/it, CE=1.669622e+00 H=1.669516e+00 dV_dx=0.000000e+00 dV_dθ=-1.064029e-04 ||∇||=1.465339e+01 | Tr=0.2236]
  3%|▎         | 13/400 [02:37<27:04,  4.20s/it, CE=1.669622e+00 H=1.669516e+00 dV_dx=0.000000e+00 dV_dθ=-1.064029e-04 ||∇||=1.465339e+01 | Tr=0.2236]
  3%|▎         | 13/400 [02:40<27:04,  4.20s/it, CE=1.653036e+00 H=1.652932e+00 dV_dx=0.000000e+00 dV_dθ=-1.036740e-04 ||∇||=1.418448e+01 | Tr=0.2163]
  4%|▎         | 14/400 [02:40<25:15,  3.93s/it, CE=1.653036e+00 H=1.652932e+00 dV_dx=0.000000e+00 dV_dθ=-1.036740e-04 ||∇||=1.418448e+01 | Tr=0.2163]
  4%|▎         | 14/400 [02:44<25:15,  3.93s/it, CE=1.642612e+00 H=1.642511e+00 dV_dx=0.000000e+00 dV_dθ=-1.011441e-04 ||∇||=1.380107e+01 | Tr=0.2332]
  4%|▍         | 15/400 [02:44<25:35,  3.99s/it, CE=1.642612e+00 H=1.642511e+00 dV_dx=0.000000e+00 dV_dθ=-1.011441e-04 ||∇||=1.380107e+01 | Tr=0.2332]
  4%|▍         | 15/400 [02:48<25:35,  3.99s/it, CE=1.631532e+00 H=1.631431e+00 dV_dx=0.000000e+00 dV_dθ=-1.005558e-04 ||∇||=1.371658e+01 | Tr=0.2392]
  4%|▍         | 16/400 [02:48<25:20,  3.96s/it, CE=1.631532e+00 H=1.631431e+00 dV_dx=0.000000e+00 dV_dθ=-1.005558e-04 ||∇||=1.371658e+01 | Tr=0.2392]
  4%|▍         | 16/400 [02:52<25:20,  3.96s/it, CE=1.617003e+00 H=1.616905e+00 dV_dx=0.000000e+00 dV_dθ=-9.762782e-05 ||∇||=1.330059e+01 | Tr=0.2488]
  4%|▍         | 17/400 [02:52<25:52,  4.05s/it, CE=1.617003e+00 H=1.616905e+00 dV_dx=0.000000e+00 dV_dθ=-9.762782e-05 ||∇||=1.330059e+01 | Tr=0.2488]
  4%|▍         | 17/400 [02:57<25:52,  4.05s/it, CE=1.606243e+00 H=1.606149e+00 dV_dx=0.000000e+00 dV_dθ=-9.482959e-05 ||∇||=1.293657e+01 | Tr=0.2584]
  4%|▍         | 18/400 [02:57<26:18,  4.13s/it, CE=1.606243e+00 H=1.606149e+00 dV_dx=0.000000e+00 dV_dθ=-9.482959e-05 ||∇||=1.293657e+01 | Tr=0.2584]
  4%|▍         | 18/400 [03:00<26:18,  4.13s/it, CE=1.600273e+00 H=1.600178e+00 dV_dx=0.000000e+00 dV_dθ=-9.455423e-05 ||∇||=1.287464e+01 | Tr=0.2572]
  5%|▍         | 19/400 [03:00<25:11,  3.97s/it, CE=1.600273e+00 H=1.600178e+00 dV_dx=0.000000e+00 dV_dθ=-9.455423e-05 ||∇||=1.287464e+01 | Tr=0.2572]
  5%|▍         | 19/400 [03:04<25:11,  3.97s/it, CE=1.587479e+00 H=1.587386e+00 dV_dx=0.000000e+00 dV_dθ=-9.275403e-05 ||∇||=1.261031e+01 | Tr=0.2608]
  5%|▌         | 20/400 [03:04<24:36,  3.88s/it, CE=1.587479e+00 H=1.587386e+00 dV_dx=0.000000e+00 dV_dθ=-9.275403e-05 ||∇||=1.261031e+01 | Tr=0.2608]
  5%|▌         | 20/400 [03:07<24:36,  3.88s/it, CE=1.578327e+00 H=1.578233e+00 dV_dx=0.000000e+00 dV_dθ=-9.408729e-05 ||∇||=1.275721e+01 | Tr=0.2584]
  5%|▌         | 21/400 [03:07<24:00,  3.80s/it, CE=1.578327e+00 H=1.578233e+00 dV_dx=0.000000e+00 dV_dθ=-9.408729e-05 ||∇||=1.275721e+01 | Tr=0.2584]
  5%|▌         | 21/400 [03:11<24:00,  3.80s/it, CE=1.550451e+00 H=1.550362e+00 dV_dx=0.000000e+00 dV_dθ=-8.879129e-05 ||∇||=1.199431e+01 | Tr=0.2897]
  6%|▌         | 22/400 [03:11<22:30,  3.57s/it, CE=1.550451e+00 H=1.550362e+00 dV_dx=0.000000e+00 dV_dθ=-8.879129e-05 ||∇||=1.199431e+01 | Tr=0.2897]
  6%|▌         | 22/400 [03:14<22:30,  3.57s/it, CE=1.534301e+00 H=1.534213e+00 dV_dx=0.000000e+00 dV_dθ=-8.796541e-05 ||∇||=1.181226e+01 | Tr=0.2993]
  6%|▌         | 23/400 [03:14<21:55,  3.49s/it, CE=1.534301e+00 H=1.534213e+00 dV_dx=0.000000e+00 dV_dθ=-8.796541e-05 ||∇||=1.181226e+01 | Tr=0.2993]
  6%|▌         | 23/400 [03:17<21:55,  3.49s/it, CE=1.525644e+00 H=1.525552e+00 dV_dx=0.000000e+00 dV_dθ=-9.230880e-05 ||∇||=1.247521e+01 | Tr=0.2873]
  6%|▌         | 24/400 [03:17<21:30,  3.43s/it, CE=1.525644e+00 H=1.525552e+00 dV_dx=0.000000e+00 dV_dθ=-9.230880e-05 ||∇||=1.247521e+01 | Tr=0.2873]
  6%|▌         | 24/400 [03:20<21:30,  3.43s/it, CE=1.511267e+00 H=1.511180e+00 dV_dx=0.000000e+00 dV_dθ=-8.657621e-05 ||∇||=1.172031e+01 | Tr=0.3017]
  6%|▋         | 25/400 [03:20<21:10,  3.39s/it, CE=1.511267e+00 H=1.511180e+00 dV_dx=0.000000e+00 dV_dθ=-8.657621e-05 ||∇||=1.172031e+01 | Tr=0.3017]
  6%|▋         | 25/400 [03:28<21:10,  3.39s/it, CE=1.494609e+00 H=1.494527e+00 dV_dx=0.000000e+00 dV_dθ=-8.166667e-05 ||∇||=1.097995e+01 | Tr=0.3041 Te/Cur=0.3281 Te/Exp=0.3516]
  6%|▋         | 26/400 [03:28<28:46,  4.62s/it, CE=1.494609e+00 H=1.494527e+00 dV_dx=0.000000e+00 dV_dθ=-8.166667e-05 ||∇||=1.097995e+01 | Tr=0.3041 Te/Cur=0.3281 Te/Exp=0.3516]
  6%|▋         | 26/400 [03:31<28:46,  4.62s/it, CE=1.484895e+00 H=1.484810e+00 dV_dx=0.000000e+00 dV_dθ=-8.528475e-05 ||∇||=1.149888e+01 | Tr=0.3041]                            
  7%|▋         | 27/400 [03:31<26:12,  4.22s/it, CE=1.484895e+00 H=1.484810e+00 dV_dx=0.000000e+00 dV_dθ=-8.528475e-05 ||∇||=1.149888e+01 | Tr=0.3041]
  7%|▋         | 27/400 [03:35<26:12,  4.22s/it, CE=1.469681e+00 H=1.469593e+00 dV_dx=0.000000e+00 dV_dθ=-8.798225e-05 ||∇||=1.202080e+01 | Tr=0.3101]
  7%|▋         | 28/400 [03:35<25:08,  4.06s/it, CE=1.469681e+00 H=1.469593e+00 dV_dx=0.000000e+00 dV_dθ=-8.798225e-05 ||∇||=1.202080e+01 | Tr=0.3101]
  7%|▋         | 28/400 [03:38<25:08,  4.06s/it, CE=1.456031e+00 H=1.455945e+00 dV_dx=0.000000e+00 dV_dθ=-8.562592e-05 ||∇||=1.183103e+01 | Tr=0.3197]
  7%|▋         | 29/400 [03:38<23:29,  3.80s/it, CE=1.456031e+00 H=1.455945e+00 dV_dx=0.000000e+00 dV_dθ=-8.562592e-05 ||∇||=1.183103e+01 | Tr=0.3197]
  7%|▋         | 29/400 [03:42<23:29,  3.80s/it, CE=1.441567e+00 H=1.441486e+00 dV_dx=0.000000e+00 dV_dθ=-8.122088e-05 ||∇||=1.124275e+01 | Tr=0.3353]
  8%|▊         | 30/400 [03:42<23:23,  3.79s/it, CE=1.441567e+00 H=1.441486e+00 dV_dx=0.000000e+00 dV_dθ=-8.122088e-05 ||∇||=1.124275e+01 | Tr=0.3353]
  8%|▊         | 30/400 [03:46<23:23,  3.79s/it, CE=1.430645e+00 H=1.430562e+00 dV_dx=0.000000e+00 dV_dθ=-8.297226e-05 ||∇||=1.158507e+01 | Tr=0.3498]
  8%|▊         | 31/400 [03:46<23:37,  3.84s/it, CE=1.430645e+00 H=1.430562e+00 dV_dx=0.000000e+00 dV_dθ=-8.297226e-05 ||∇||=1.158507e+01 | Tr=0.3498]
  8%|▊         | 31/400 [03:49<23:37,  3.84s/it, CE=1.420716e+00 H=1.420631e+00 dV_dx=0.000000e+00 dV_dθ=-8.486426e-05 ||∇||=1.189301e+01 | Tr=0.3606]
  8%|▊         | 32/400 [03:49<21:58,  3.58s/it, CE=1.420716e+00 H=1.420631e+00 dV_dx=0.000000e+00 dV_dθ=-8.486426e-05 ||∇||=1.189301e+01 | Tr=0.3606]
  8%|▊         | 32/400 [03:52<21:58,  3.58s/it, CE=1.417569e+00 H=1.417475e+00 dV_dx=0.000000e+00 dV_dθ=-9.389639e-05 ||∇||=1.338123e+01 | Tr=0.3582]
  8%|▊         | 33/400 [03:52<21:29,  3.51s/it, CE=1.417569e+00 H=1.417475e+00 dV_dx=0.000000e+00 dV_dθ=-9.389639e-05 ||∇||=1.338123e+01 | Tr=0.3582]
  8%|▊         | 33/400 [03:56<21:29,  3.51s/it, CE=1.411297e+00 H=1.411199e+00 dV_dx=0.000000e+00 dV_dθ=-9.788021e-05 ||∇||=1.410578e+01 | Tr=0.3522]
  8%|▊         | 34/400 [03:56<21:33,  3.53s/it, CE=1.411297e+00 H=1.411199e+00 dV_dx=0.000000e+00 dV_dθ=-9.788021e-05 ||∇||=1.410578e+01 | Tr=0.3522]
  8%|▊         | 34/400 [03:59<21:33,  3.53s/it, CE=1.405735e+00 H=1.405634e+00 dV_dx=0.000000e+00 dV_dθ=-1.006104e-04 ||∇||=1.466174e+01 | Tr=0.3534]
  9%|▉         | 35/400 [03:59<21:16,  3.50s/it, CE=1.405735e+00 H=1.405634e+00 dV_dx=0.000000e+00 dV_dθ=-1.006104e-04 ||∇||=1.466174e+01 | Tr=0.3534]
  9%|▉         | 35/400 [04:03<21:16,  3.50s/it, CE=1.396622e+00 H=1.396522e+00 dV_dx=0.000000e+00 dV_dθ=-1.003707e-04 ||∇||=1.470773e+01 | Tr=0.3606]
  9%|▉         | 36/400 [04:03<22:31,  3.71s/it, CE=1.396622e+00 H=1.396522e+00 dV_dx=0.000000e+00 dV_dθ=-1.003707e-04 ||∇||=1.470773e+01 | Tr=0.3606]
  9%|▉         | 36/400 [04:06<22:31,  3.71s/it, CE=1.389383e+00 H=1.389282e+00 dV_dx=0.000000e+00 dV_dθ=-1.008869e-04 ||∇||=1.489590e+01 | Tr=0.3606]
  9%|▉         | 37/400 [04:06<21:21,  3.53s/it, CE=1.389383e+00 H=1.389282e+00 dV_dx=0.000000e+00 dV_dθ=-1.008869e-04 ||∇||=1.489590e+01 | Tr=0.3606]
  9%|▉         | 37/400 [04:09<21:21,  3.53s/it, CE=1.382138e+00 H=1.382036e+00 dV_dx=0.000000e+00 dV_dθ=-1.022389e-04 ||∇||=1.516642e+01 | Tr=0.3654]
 10%|▉         | 38/400 [04:09<20:07,  3.34s/it, CE=1.382138e+00 H=1.382036e+00 dV_dx=0.000000e+00 dV_dθ=-1.022389e-04 ||∇||=1.516642e+01 | Tr=0.3654]
 10%|▉         | 38/400 [04:12<20:07,  3.34s/it, CE=1.377654e+00 H=1.377549e+00 dV_dx=0.000000e+00 dV_dθ=-1.047161e-04 ||∇||=1.566838e+01 | Tr=0.3570]
 10%|▉         | 39/400 [04:12<19:15,  3.20s/it, CE=1.377654e+00 H=1.377549e+00 dV_dx=0.000000e+00 dV_dθ=-1.047161e-04 ||∇||=1.566838e+01 | Tr=0.3570]
